Sub_Before,Tense,Complement,Reading,left,buinn,right,source,year
No,,CONJ,vel búið,ti rammari. Síðan voru goð hennar sett í hverfing úti og vel,búin,og kastað járni glóanda á kné því er máttkast var og tók þegar að loga hvert,(nefjolf),
No,,CONJ,svo búið,"a kvið og hugðu að og gátu hvergi rengdan, gengu frá við svo",búið,og undu illa við. Mörður nefndi sér votta og beiddi búa þá níu framburðar um,(njala),1280
Yes,PRS,CONJ,,"lja, ægir alnar leygjar ókvíðandi bíða."" Ok er skip hans eru",búin ,"ok þat lið, er honum skyldi fylgja, ok þá er þat veðr kemr, er honum þótti s",(ragnar),
No,,CONJ,Fixed,Þeir luku upp húsinu og gengu þar inn. Það hús var vel innan,búið,og var nálega fullt af allskyns auðæfum. Þar voru þeir um nóttina og skorti,(st_oddi),
No,PRS,CONJ,,aust farið hafa. Gengur nú Bjarni út og sér nú hvernig um er,búið,"og hefir ekki orða um fleira, lætur nú jarða þá. Og er nú kyrrt allt uns jól",(stangar),
No,,CONJ,svo búið,hann hafði föng á. Síðan fór Brandur heim og sagði Páli svo,búið,og nú líður að þinginu. Páll reið til þings því að hann átti Reykhyltingagoð,(sturl),1250
No,,CONJ,svo búið,ana komast. Verður það þeirra ráð að þeir snúa aftur við svo,búið,og ríða heim vestur. Þeir Hrafn og Sturla voru báðir á Staðarhóli um veturin,(sturl),1250
No,PST,CONJ,,é til farningar þeim. Þar var sæst á öll mál þau er til voru,búin,og gekk Þorleifur beiskaldi til handsala fyrir Ara og greiddi upp fé mikið.,(sturl),1250
No,,CONJ,Fixed,"skapi. En eftir það, vonu bráðara, seldi Guðmundur af hendi",búið,og alla fjárhluti og tóku þau við en Guðmundur ræðst í brott með það er hann,(sturl),1250
No,,CONJ,Fixed,ungu hinn þriðja dag páska með fjóra tigu manna og settist í,búið,og bauð Páli að hafa af fénu fjóra tigu hundraða en Páll kvað sig eigi mega,(sturl),1250
No,,CONJ,Fixed,gullsmiður er átti Sigríði Þjóðólfsdóttur er þar hafði lengi,búið,og kom Guðmundur því ráði í hendur honum og svo landinu. Þorsteinn tók við R,(sturl),1250
No,,CONJ,Fixed,aholt fékk hann í hendur Þórði bróður sínum og eignaði honum,búið,og það er eftir var. Órækja tók það ráð að hann reið vestur í fjörðu með tól,(sturl),1250
No,,CONJ,Fixed,þá er Herdís hét er átt hafði Brandur Gellisson er þar hafði,búið,og þar var veginn í kirkjudurum. Þórdís hét kona sú er Helgi prestur átti en,(sturl),1250
Yes,PST,CONJ,,n og þótti mönnum þetta ill furða. En er skip þessi öll voru,búin,"og komin til Skagafjarðar þá var og komið lið allt norðan um Öxnadalsheiði,",(sturl),1250
No,,CONJ,svo búið,"eiga, það biskupi og kirkju er þau eiga. Skilja þeir við svo",búið,og fara þeir heim. Að áliðnu sumri fer biskup norður um heiði að erindum sín,(sturl),1250
No,,CONJ,svo búið,og fór á Staðarhól til Einars fóstra síns og sagði honum svo,búið,og kveðst ætla að hann mundi vilja rétta hans hlut þá er þeir léku saman bar,(sturl),1250
No,,CONJ,Fixed,"r og fór þar utan, og er hann úr sögunni fyrst. Karl tók upp",búið,og færði á Grund. Hann lét Ingvildi fara með sér og setti hana hið næsta sér,(svarfd),
No,,CONJ,vel búið,"ður sá hann að kona gekk inn í tjaldið mikil og errileg, vel",búin,og væn að yfirlitum. Hún gekk innar að þar er Ormur lá og nam þar staðar. Or,(th_orms),
No,,CONJ,svo búið,eigi gangast svör þessa máls. Fara þeir feðgar heim við svo,búið,og litlu síðar ríður Einar norður til Hofs og segir Þorgilsi bónorðið og kve,(thors_hv),
No,,CONJ,Fixed,Þórormur og sveit hans öll. En um morguninn höggva þeir upp,búið,"og bera til skips, láta í haf eftir það og lést Þorsteinn nú fúsari í haf að",(tjaldst),
No,,CONJ,svo búið,hitt maklegra að þú hefðir einn. Far heim til Borgar við svo,búið,og sit í búi þínu. Hinn er annar kostur að nú skulum vér þreyta hólmgöngur v,(vatnsdae),1280
No,,CONJ,Fixed,ar svo gert. Þar heita síðan Sleggjustaðir er Þórólfur hafði,búið,og sáust jafnan kettir og illt þótti þar oftlega síðan. Sjá bær er ofan frá,(vatnsdae),1280
No,,CONJ,svo búið,"tir fyrir höndum og hvorgi góður, ríða undan og heim við svo",búið,og er það þó hin mesta sneypa eða að hætta á fundi við þá og er þó nokkuð hæ,(vatnsdae),1280
No,,CONJ,svo búið,"a goða gremi og griðníðings nafn."" Skilja þeir síðan við svo",búið,og fór hver heim til síns heimilis. Var þetta nú gert að tíðindasögn um svei,(vatnsdae),1280
No,,CONJ,svo búið,ign og gróf Sigmund upp. Síðan fóru mál til alþingis við svo,búið,"og sótti Glúmur þá frændur sína að liðveislu, Gissur hvíta og Teit son Ketil",(vigaglum),1215
No,,CONJ,svo búið,"svarar: ""Þann kost vil eg gjarna."" Skiljast þeir nú við svo",búið,og fer Glúmur til þings. En Ásbjörn fer til móts við Skútu og segir honum hv,(vigaglum),1215
No,,CONJ,Fixed,bræður nú búast við jólaveislu. En allt hafði Hreiðar fyrir,búið,"og skyldi hann þá bjóða mönnum og bað Eyjólf fara með sér ""og er mér eigi fo",(vigaglum),1215
No,,CONJ,svo búið,orvitnaðist af Steingrími hvort hann mundi vilja una við svo,búið,og að Eyjólfur skipaði málum fyrir hans hönd sem honum líkaði en Áskell taki,(vigaskut),
No,,CONJ,Fixed,Væringjar kalla Fáfni. Og fyrir því eru vopn hans öll gulli,búin,"og brún að lit, að hann er langt umfram aðra menn að kurteisi og allri hæver",(volsung),
No,,CONJ,svo búið,"n hún enn hingað koma til Hofs."" Geitir reið nú heim við svo",búið,og þótti hvorutveggjum eigi betur en áður. En er Geitir kom eftir spurði Hal,(vopn),1237.5
No,,CONJ,svo búið,"ta fé enda vera þér aldrei að liði síðan."" Og skildu við svo",búið,og er nú lokið vinfengi þeirra. Geitir spyr þetta og fer til fundar við Guðm,(vopn),1237.5
No,,CONJ,svo búið,"igi heima. Eigi mun yður ellegar duga."" Þormóður fer við svo",búið,og hittir þá menn er Geitir hefir til nefnda og hétu þeir allir að fara og á,(vopn),1237.5
No,PST,GEN,,n og þeir höfðu tekið af Þorgísli gjallanda. En er þeir voru,búnir,"ferðar sinnar, þá sagði konungur þeim erindi, að þeir skyldu fara austur ti",(egils),1227.5
Yes,PST,GEN,,"i, og bað hann selja, ef kaupendur væru til. Og er Egill var",búinn,"ferðar sinnar og byr gaf, þá sigldu þeir út eftir Víkinni og svo leið sína",(egils),1227.5
Yes,PST,GEN,,"sú sveit manna, er honum hafði þangað fylgt. En er Björn var",búinn,"ferðar sinnar, þá sagði Bera, að hún vill, að Ásgerður, fóstra hennar, sé e",(egils),1227.5
No,PRS,GEN,,"leg og svo eigi síður eftir þinn dag, og er eg þó eigi þessa",búinn,", nema fleiri bindist í. Vil eg að þú finnir Bjarna móðurbróður minn í Svíne",(fsaga),
Yes,PST,GEN,,æði þar úr Þrándheimi og svo norðan úr landi. En er hann var,búinn,ferðar sinnar þá fór hann með liðinu fyrst suður á Mæri og heimti þar saman,(heimskringla),1230
No,PST,GEN,,þeir þar um nóttina. Um morguninn er þeir Bolli voru ferðar,búnir,"þá mælti Óttar: ""Vel hefir þú gert Bolli er þú hefir sótt heim bæ minn. Vil",(laxdal),1250
No,PRS,GEN,,"Kjartan í brott og til konungs, sagði konungi að hann er þá",búinn,ferðar sinnar. Ólafur konungur leiddi Kjartan til skips og fjöldi manns með,(laxdal),1250
No,PST,GEN,,"ér hug ok hreysti, íþróttir ok alla atgervi. Högni lést þess",búinn,. Ok annan dag árla fóru þeir á sund ok í skotbakka. Þeir frömdu ok burtreið,(sorla),
No,PST,GEN,,"alskipuð. Þetta frá nú Óláfr konungr, at Yngvarr var ferðar",búinn,", ok sendi menn á fund Yngvars ok bað hann dveljast ok þiggja konungs nafn.",(yngvar),1200
No,PST,INF,,imaði Bárður um landið og kom víða fram. Var hann svo oftast,búinn,"að hann var í grám kufli og svarðreip um sig, klafakerlingu í hendi og í fj",(b_snae),
No,PRS,INF,,í hafnan skurgoða mér samtengdan í ást Krists. En ef þú ert,búinn,"að trúa, þá farðu með bróður þínum að þú takir hreinsan þá að þú megir sjá",(cecil),
Yes,PRS,INF,,un eigi dvelja að reiða öxina að honum Arnkatli þá er þú ert,búinn,"að hefna Hauks fylgdarmanns þíns."" Snorri svarar: ""Það þykist eg eiga að yð",(eyrbygg),1255
No,PST-SBJ,INF,,turla Þjóðreksson sendi þau orð að vestan að hann væri þegar,búinn,að fara að þeim Óspaki er Snorri vildi og kallar sig eigi óskyldara að fara,(eyrbygg),1255
No,NF,INF,,"ándur tók því vel og spurði hvað hann vildi honum, kvaðst þá",búinn,að fara þangað er hann skyldi ef hann vildi senda hann nokkuð. Snorri bað h,(eyrbygg),1255
No,NF,INF,,"mig varan við."" Skildu þeir við það að hvorirtveggju létust",búnir,að ráða Arnkel af lífi en Þorbrandssynir skyldu halda njósn um ferðir hans.,(eyrbygg),1255
No,PST,INF,,mjög blóðrás og það að Svartur stóð með reidda rekuna og var,búinn,að slá hann með og þótti honum það mest svívirðing. Og við þetta allt saman,(finnboga),1312.5
No,NF,INF,,"praun í þessu. Þorgrímur kvaðst eigi hafa barna skap, kvaðst",búinn,að reyna alla hluti við hann. Helgi kvaðst ætla að að málefnum mundi ganga,(floam),1320
No,PRS,INF,,húðföt þeirra. Taka þeir að hvata út á skipið og eru árdegis,búnir,að öllu. Þá er sól var í landsuðri rann byr á. Ganga þeir Ingólfur og Kolba,(fostb),1225
No,,INF,Fixed,"ok brosti at; hugsar hann þat með sér, at hann var lítt við",búinn,"úti at liggja, en þótti eigi vísar viðtökur, ef hann biði þess, er honum væ",(gautrek),
Yes,PRS,INF,,ðan fer hann. Og er hann kemur þar þá eru þau Gísli og Auður,búin,að láta upp tjöldin. Geirmundur ber upp erindið og sagði allt sem farið hafð,(gisl),1240
No,PST,INF,,"nema heiman hafi."" Hávarður var vinsæll maður og voru margir",búnir,að veita honum lið til þessa en í annan stað að firra Eyjólf óhappi og verð,(gisl),1240
No,Samsett,INF,,Fóru þeir nú til vígvallar ok fylktu liði sínu ok sýndu sik,búna,"at berjast. Tóku þeir sér annan orrostustað, því at sá inn sami mátti eigi v",(gonguhr),
No,PRS,INF,,"þik, sem vit höfum áðr talat."" Vilhjálmr segir: ""Þess er ek",búinn,", at ganga í móti Sóta. Þykki mér nú gott, at þér megið nú sjá, hverr afreks",(gonguhr),
No,PRS,INF,,"vað: 18. ""Nú er því lokit, numin eru frði ok em braut þaðan",búinn,"at ríða, leið at huga ok lengra seg, hvat mun meir vera minnar ævi?"" Grípir",(gripisspa),
No,PST,INF,,vildi. Þú hefir og enn fyrr tekið mig með valdi og varst þá,búinn,"að veita mér bana. Var þá nokkur sök til en nú engi nema lygi þín og róg.""",(hallfr2),1212.5
No,PST,INF,,Nú lét Hörður gera sér hornsköfur um nóttina. Þá voru allir,búnir,að fara til leiks þegar er Hörður fór þótt áður væru nokkuð stirðir. Önundu,(hardar),1350
No,Samsett,INF,,tekið minnar handar mikilmannlega til orðs að eg þykist eigi,búinn,að fara. Nú er ferð mín albúin á braut en eg hefi ætlað að fara tvívegis. N,(heidarv),1212.5
No,PRS-SBJ,INF,,an og takist orusta þá heimti vorir menn saman skipin og séu,búnir,að tengja. Hlífum oss fyrst og gætum vopna vorra að vér berum eigi á sæ eða,(heimskringla),1230
No,Samsett,INF,,"gast."" Að ræðu Gregoríusar varð mikill rómur og létust allir",búnir,að leggja til orustu við þá Hákon. Var þá róið öllum skipunum upp eftir ánn,(heimskringla),1230
No,PST,INF,,Björn og þeir tólf saman. Hann segir þá konungi að þeir voru,búnir,"að fara sendiförina og hestar þeirra stóðu úti söðlaðir. ""Vil eg nú vita,""",(heimskringla),1230
No,PST,INF,,"n og þeir Þórir spurðu það, þeir lágu þá við Hefring og voru",búnir,"að halda út úr firðinum, þá reru þeir á Vagnvíkaströnd og gengu þar af skip",(heimskringla),1230
Yes,PST,INF,,ungs safnaðist saman í Sólundum. En er Haraldur konungur var,búinn,að leggja út úr Niðarósi þá gekk hann áður til skríns Ólafs konungs og lauk,(heimskringla),1230
Yes,PST,INF,,"hann banahögg, reið braut síðan. En er Haraldur konungur var",búinn,að stíga á hest sinn þá bað hann kalla til sín Áka búanda. En er menn leitu,(heimskringla),1230
No,PRS,INF,,"er kominn Hrafn frændi minn."" Einar mælti: ""Eigi em eg þess",búinn,að berjast við konung fyrir hann. Það var einn tíma er eg hélt þann mann se,(hrafn_g),
No,Samsett,INF,,igi veit eg hversu það fer. Hitt veit eg að margir menn munu,búnir,að kaupa að þér hólminn og gefa þér fé fyrir en ráðlegra ætla eg vera að eg,(hreidar),
No,PST,INF,,stofu og sat á palli. Þórveigarsynir sátu í stofunni og voru,búnir,að veita Kormáki tilræði er hann gengi inn. En Þorkell hafði sett öðrumegin,(kormaks),1212.5
No,Samsett,INF,,"ð má við gangast."" Snorri mælti: ""Til þess skal eg boðinn og",búinn,að ganga með þeim málum fyrir þína hönd. Er nú og af ráðinn hvortveggi hlut,(laxdal),1250
No,PST,INF,,laferli færu fram. En þá var svo komið að hvorirtveggju voru,búnir,"að berjast. Þá mælti Skegg-Broddi: ""Má Eyjólfur heyra mál mitt?"" ""Heyri eg,",(ljosvetn),1220
No,?,INF,,"r fagur í ásjónu, linur í orðum, ástsamligur í öllum hlutum,",búinn,"að hlýða, þjónustufullur. Sendur var hann með öðrum bræðrum fyrir nauðsynju",(marin),
No,,INF,Fixed,igi vil eg út ganga því eg er maður gamall og er eg lítt til,búinn,"að hefna sona minna en eg vil eigi lifa við skömm."" Flosi mælti þá til Berg",(njala),1280
No,,INF,Fixed,því að eg mun þá hafa fylkt liði mínu hér fyrir og vera við,búinn,að veita yður. En ef hinn veg fer að þeir hrökkvi fyrir þá er það ætlan mín,(njala),1280
No,PST,INF,,"ir þeim, því at hann hafði komit af landi ofan, þá þeir váru",búnir,"at sigla, eptir er Oddr hafði unnit finngálknit, ok sjaldan var Rauðgrani þ",(orvar),1290
No,,INF,Fixed,íkan farartálma. Sigurður var stórorður og kvað hann vel til,búinn,"að hlaupa og elta hest sinn. ""Heyr á,"" segir Einar, ""að þú gerir mér afarko",(sturl),1250
No,PST-SBJ,INF,,"n með sveit sína, kvaðst þar mundu vera þar til er þeir væru",búnir,að ríða norður á sveitir því að Oddur ætlaði norður að þeim Eyjólfi þegar h,(sturl),1250
No,,INF,Fixed,ær er þá mundu eigi upp bornar. Þorgils kvaðst vel mundu við,búinn,að verja þær ef eigi væri logið á hann. Sturla segir að eigi mundi verða af,(sturl),1250
Yes,PST,INF,,skarar skríða með þeim. Þá er Karl kom til orustu var Skíði,búinn,að flýja. Karl gengur þegar í lið með Skíða og hans menn og berjast þann da,(svarfd),
No,PRS,INF,,tta skaltu bera í móti Molda og taka eigi fyrr upp en þú ert,búinn,"að höggva en haf hitt til sýnis er þú berð áður."" Þorsteinn tók við og brá",(svarfd),
No,Samsett,INF,,reiði sína og þeir sem áður höfðu verið ills eggjandi mundu,búnir,"að fullgjöra það sem heitið var, hljóp hann fram fyrir biskup og mælti: ""Eg",(thorl),1210
No,PRS,INF,,llt það sem mér má í koma. Gjör hvað er þú vilt því að eg er,búinn,"að láta bannið ei undan líða sakir hugleysis fyrir heitan þína."" Jón svarar",(thorl),1210
No,PST,INF,,"nnan hvorn."" Jökull stóð hjá Þorsteini með Ættartanga og var",búinn,"að bregða. Finnbogi og þeir Bergur ganga til hesta sinna og stíga á bak, rí",(vatnsdae),1280
No,Samsett,INF,,"brottferð ""en þó er fátt sköpum ríkara."" Urðu og þess margir",búnir,"að fara með Ingimundi þeir er mikils voru virðir, bæði bændur og lausir men",(vatnsdae),1280
No,PST,INF,,til skjótur en eg heldur til seinn því að nú var eg á brott,búinn,að hverfa frá þessu óráði en á eg kost alls við þig hvort eg læt þig lifa e,(vatnsdae),1280
No,Samsett,INF,,"r spekimenn eru og við eru staddir."" Þeir Þórarinn urðu eigi",búnir,að lasta en kváðust eigi fyrri þann veg heyrt hafa að orði kveðið. Með slík,(vigaglum),1215
No,PST,INF,,hólm við Ásgaut. En þótt konan þætti fýsileg þá varð þó engi,búinn,að vinna þetta til. Þá beiddu þeir bræður að Eyjólfur mundi halda skildi fy,(vigaglum),1215
No,Samsett,INF,,"mundu þegit hafa, ef þess hefði fyrr kostr verit, en kveðst",búinn,"at sigla, þegar byrr gefr. Litlu síðar sigldi Yngvarr ór Svíþjóð með þrjá t",(yngvar),1200
No,,INF-ana,Fixed,"f vér þurfum skjótt til at taka, ok hafa forka úti, ok verum",búnir,"at öllu, en vér skulum ganga á land, Framarr ok ek."" Nú ganga þeir á land u",(sturlaug),
No,,NULL,svo búið,"agð. En þér er nú brugðit nokkut, ok því sendi ek þik nú svá",búinn,"Ingjaldi konungi, ok geld ek honum þik fyrir annan bróður sinn, hvé nær sem",(ans),
No,PST,NULL,,"ápn sín. Án var á bænum, en menn hans á skipum, ok beið hann",búinn,"þess, er at höndum kæmi. Eptir þat sjá þeiri at skip renndi á lægit fyrir b",(ans),
No,PST,NULL,svo búið,Án var með karli ok húsar upp bæ hans um sumarit. Án var svá,búinn,"hversdagliga, at hann var í hvítu pilsi; þat var svá sítt, at þat nam hæl.",(ans),
No,,NULL,svo búið,"i, - ""ok yðr ok konungi. Er ok lítit erendit, ef ek ferr svá",búinn,"í burt, ok allósýnt, hversu mér tekst hér vistin meðan. Em ek fúsari at far",(ans),
No,PST,NULL,,"runsamlig för þeira, - ""ok far þú á njósn"". Hann kvaðst þess",búinn,"ok fór í skóg með marga menn, svá at hinir vissu eigi, en sáu þeir hvergi.",(ans),
No,PST,NULL,,"oss eru settir til meins"". Án skaut einum fork, er járni var",búinn,", undir rangbyrðit á skútunni, ok gerðist þat skipti á, at sjór kolblár kom",(ans),
No,PST,NULL,vel búið,ur. Þrjár konur gengu með henni. Hún var kvenna vænst ok vel,búin,". Hún var í rauðum kyrtli ermalöngum ok ekki niðr víðum, síðum ok miðþröngum.",(ans),
No,PRS,NULL,,"ú er komin á vella,"" sagði Skinnnefja. ""Langt mun þá, áðr en",búinn,"er,"" sagði drottning, ""eða hvat segir þú til, Egill?"" 9. Egill kom í þjónus",(asberser),
No,PRS,NULL,,"""ok megum vit nú prófa okkra fimleika."" Ásmundr kveðst þess",búinn,". Síðan frömdu þeir allar íþróttir, þær ungum mönnum váru tíðar í þær mundir",(asberser),
No,PRS,NULL,,"á vel plagat sem vera skyldi. Mun langt, áðr en grautrinn er",búinn,", ok seg þú ævisögu þína, Ásmundr, en þá skal Egill við taka, en þá mun ek s",(asberser),
No,PST,NULL,,"k pund gulls ok keypta ek svá hornit, en drottningu hans var",búinn,"eitrdrykk í tólf tunna bikar, ok drakk ek þat fyrir hennar skyld, ok hefi e",(asberser),
No,,NULL,svo búið,"herfangi dóttur hans og allmikið fé, og fara nú heim við svo",búið,". Þá mælti Á1fur: ""Svo hefir oss til handa borist, að vér höfum gnógt ríki og",(asmund),
No,,NULL,Fixed,num. Smiðurinn kvað það ofraun sverðinu og lét það til höggs,búið,", en eigi til reistingar. Konungur kvað það eigi mundu högg standast, ef það",(asmund),
No,,NULL,Live,"vað sök til vera. Ásmundur mælti: ""Hversu lengi hefir þú hér",búið,"?"" Hann kveðst þar hafa búið allan aldur sinn, --""en þar hygg ég nú að því, a",(asmund),
No,,NULL,Fixed,"þiggja."" Hann spurði, er þeir væri hagleiksmenn nokkurir eða",búnir,"við íþróttum. Þeir kváðust kunna að gera hagliga hvern hlut, þann er smíða",(asmund),
No,,NULL,Live,"ælti: ""Hversu lengi hefir þú hér búið?"" Hann kveðst þar hafa",búið,"allan aldur sinn, --""en þar hygg ég nú að því, að hér gistu fyrir löngu send",(asmund),
No,PRS-SBJ,NULL,,"að: 28. ""Konur hugðak dauðar koma í nótt hingat, væri-t vart",búnar,", vildi þik kjósa, byði þér bráðliga til bekkja sinna; ek kveð aflima orðnar",(atlamal),
