corpus,match_position,left context,match,right_context,text_wordcount,chapter_n,text_titill,text_paragraphcount,text_ritstjorar,text_utgefandi,text_sentencecount,text_rit,text_utgafuar,
Brennu-Njáls saga,31391,Hallbjörn var úti og mælti til Otkels : « Illt,er að eiga,þræl að einkavin og munum vér þessa jafnan iðrast er þú hefir aftur horfið og er það óviturlegt bragð að senda hinn lygnasta mann þess erindis er svo mun mega að kveða að líf manna liggi við . »,98938,49,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Eyrbyggja saga,20431,"« Fann eg hann , » segir Þorleifur , « og vildi hann engan kost á gera að taka við mér enda er mér lítið um , » segir Þorleifur , « að veita þeim manni fylgd er jafnan vill sinn hlut láta undir liggja við hvern mann sem um",er að eiga,. »,38388,36,Eyrbyggja saga,890,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2392,Íslendingasögur I,1985,
Grettis saga Ásmundarsonar,59847,"Þá hló Öngull og mælti : « Satt er hið fornkveðna , að langvinirnir rjúfast síst , og hitt annað , illt",er að eiga,"þræl að einkavin , þar sem þú ert Glaumur og hefir þú skemmilega svikið þinn lánardrottin þó að hann væri eigi góður . »",61205,82,Grettis saga Ásmundarsonar,1498,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4386,Íslendingasögur I,1985,
Íslendinga þættir,4708,"Arnór svarar : « Ekki þykir mér þú Bolli vænt stefna út er þú sækir norður hingað , við slíka ójafnaðarmenn sem hér",er að eiga,.,110609,3,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Kjalnesinga saga,2055,Þorsteinn mælti þá : « Nú er við ramman reip að draga er bæði,er að eiga,við hund og tröll en aftur munum vér nú fara fyrst að sinni .,11003,3,Kjalnesinga saga,290,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,928,Íslendingasögur II,1986,
Ljósvetninga saga (C-gerð),2317,Guðmundur mælti : « Það er nú sem tekst til við þá sem um,er að eiga,ef þeir koma til alþingis .,27557,4,Ljósvetninga saga - C-gerð,1057,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2026,Íslendingasögur II,1986,
Þórðar saga hreðu,13035,Össur mælti : « Illt,er að eiga,þræl að einkavin » og laust hann öxarhamarshögg svo að hann lá í svíma .,15547,9,Þórðar saga hreðu,472,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1202,Íslendingasögur II,1986,
Víglundar saga,11712,Húsfreyja mælti og þó heldur lágt : « Illt,er að eiga,gamlan mann . »,11825,21,Víglundar saga,308,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,810,Íslendingasögur II,1986,
Gunnlaugs saga Ormstungu,8141,"Konur sátu á palli og sat Helga hin fagra næst brúðinni og renndi oft augum til Gunnlaugs , og kemur þar að því sem mælt",er að eigi,leyna augu ef ann kona manni .,9596,11,Gunnlaugs saga ormstungu,356,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,650,Íslendingasögur I,1985,
Harðar saga og Hólmverja,17787,Hún kveðst eigi fara mundu og eigi synir hennar heldur og lét nú að því koma sem mælt,er að eigi,má feigum forða .,19850,36,Harðar saga og Hólmverja,514,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1476,Íslendingasögur II,1986,
Íslendinga þættir,22963,Ása bað Þórð senda eftir Víðkunni og reyna vináttumálin og kvæðislaunin « því að þungt,er að etja,þar sem Ingimar er . »,110609,1,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Heimskringla,215371,Sveinn Hrímhildarson mælti : « Skömm mikil,er að fara,til þess heiman frá búum sínum dugandismönnum að draga hér knapa upp jafnhátt sér . »,231502,29,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Sturlunga,254786,Má þá sjá hversu óráðlegt,er að fara,með alllítinn afla á svo stórar sveitir .,260587,442,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Brennu-Njáls saga,59187,« Karlmannlega,er að farið,", » segir Kári .",98938,92,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Fljótdæla saga,10187,Helgi svaraði : « Ekki ætla eg þann veg að fara því að þar er svo styggt að hvern dag,er að farið,.,27278,11,Fljótsdæla saga,527,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2010,Íslendingasögur I,1985,
Gísla saga Súrssonar (lengri gerð),14585,Munum vér þá og leiða hjá oss þetta mál sem vér megum ef þannig,er að farið,.,23429,21,Gísla saga Súrssonar - lengri gerð,535,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1429,Íslendingasögur I,1985,
Bandamanna saga,4875,"En hyggið að hvort meira er vert , þetta eitt orðið",er að fellur,eiðstafnum eða hin tvö .,9384,6,Bandamanna saga - Konungsbók,280,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,650,Íslendingasögur I,1985,
Fljótdæla saga,9499,En þó bar hinn veg raun á að enn voru eigi allir svo þagmælskir að þegðu yfir með og kemur oft að því sem mælt,er að fer,orð er um munn líður .,27278,11,Fljótsdæla saga,527,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2010,Íslendingasögur I,1985,
Egils saga Skalla-Grímssonar,8631,"Þórólfur svarar svo : « Eigi mun konungur trúa því þótt slík lygi sé upp borin fyrir hann því að hér eru engi efni til þessa , að eg muni svíkja hann því að hann hefir marga hluti gert stórvel til mín en engan hlut illa og",er að firr,", að eg mundi vilja gera honum mein þótt eg ætti þess kosti , að eg vil miklu heldur vera lendur maður hans en heita konungur og væri annar samlendur við mig sá er mig mætti gera að þræli sér ef vildi . »",62240,14,Egils saga Skalla-Grímssonar,1103,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4066,Íslendingasögur I,1985,
Vatnsdæla saga,8893,Grímur reið til skips og fagnaði vel fóstbróður sínum og kvaðst mikla þökk kunna hans þarkomu « og kemur hér nú að því sem mælt er að torsótt,er að forðast,forlögin . »,29289,14,Vatnsdæla saga,826,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1832,Íslendingasögur II,1986,
Brennu-Njáls saga,106501,Þykir mér það oft rjúfast er skemmra,er að frétta,en slíkt .,98938,149,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Brennu-Njáls saga,25075,« Þá,er að gæta,"ráðsins , » segir Gunnar , « en mjög munt þú verða reyndur og gakk með mér jafnan og hlít mínum ráðum . »",98938,41,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Víglundar saga,4128,Hann tók til orða : « Út,er að ganga,og fagna Þorgrími bónda því að hann ríður að garði . »,11825,8,Víglundar saga,308,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,810,Íslendingasögur II,1986,
Grettis saga Ásmundarsonar,18318,Megið þér sjá herra að betra,er að gefa,"einum manni grið og hafa í móti margra manna þökk en ráða einn fésektum , heldur en brjótast í móti sæmd sinni og hætta hvort þér náið manninum eða eigi . »",61205,24,Grettis saga Ásmundarsonar,1498,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4386,Íslendingasögur I,1985,
Fóstbræðra saga,15623,Illugi lýkur þá upp kistunni og finnur þar marga lykla þá,er að gengu,öllum lásum þeim er voru á Reykjahólum .,31546,13,Fóstbræðra saga,856,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2144,Íslendingasögur I,1985,
Heimskringla,222905,"En er þeir voru komnir fyrir nes eitt , voru þeir kátir og drukknir og reru ákaflega og uggðu fátt , þá stóð Sigurður upp og gekk til borðs en tveir menn , þeir er til gæslu voru fengnir með honum , stóðu upp og gengu að borðinu , tóku möttulinn báðir og héldu frá honum sem títt",er að gera,við ríka menn .,231502,14,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Eyrbyggja saga,38557,"Fór þá bóndi inn á Kársstaði og kærði þetta vandræði fyrir Þóroddi því að hann var hans landseti , sagði að það var ætlan manna að Bægifótur mundi eigi fyrr létta en hann hefði eytt allan fjörðinn bæði að mönnum og fé ef engra ráða væri í leitað « mun eg eigi lengur þar við haldast ef eigi",er að gert,. »,38388,63,Eyrbyggja saga,890,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2392,Íslendingasögur I,1985,
Gísla saga Súrssonar (styttri gerð),2780,Gísli mælti þá til Þorkels bróður síns : « Nú fór sem mig grunaði og mun þetta fyrir ekki koma sem nú,er að gert,.,18981,6,Gísla saga Súrssonar - styttri gerð,483,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1169,Íslendingasögur I,1985,
Vatnsdæla saga,12412,Oddur kvaðst ætla að honum mundi eigi svo þykja ef það yrði gert « en þar er þó sá maður er við alla vill illt eiga og virða menn þig til að eigi,er að gert,. »,29289,19,Vatnsdæla saga,826,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1832,Íslendingasögur II,1986,
Gunnlaugs saga Ormstungu,475,Austmaðurinn kveðst það víst vilja og riðu þeir heiman of daginn þrír saman og húskarl Þorsteins þar til er þeir koma upp undir Valfell til bæjar þess,er að Grenjum,heitir .,9596,2,Gunnlaugs saga ormstungu,356,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,650,Íslendingasögur I,1985,
Heiðarvíga saga,732,Nú er ólíkt hvort,er að hafa,með sér góða drengi og hvata eða einhleypinga óreynda þá er sér eiga einkis góðs kosti ef nokkuð hendir til vandræða .,12941,16,Heiðarvíga saga,299,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,868,Íslendingasögur II,1986,
Íslendinga þættir,63924,"Mér er horfin hein og heinarsufl , nál og skreppa og allt skjóðuskrúð það er betra",er að hafa,en missa . »,110609,1,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Sturlunga,54853,"« Já , » segir Dálkur , « það þykir mér ráð að hafa af Runólfi , að betra",er að hafa,en eigi . »,260587,108,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Egils saga Skalla-Grímssonar,55352,Egill segir : « Ekki,er að hallmæla,mér um þetta þótt eg geri sem bóndi gerir .,62240,72,Egils saga Skalla-Grímssonar,1103,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4066,Íslendingasögur I,1985,
Heimskringla,161149,Eða ætlar þú að betra færi muni gefast við Ólaf en svo sem nú,er að hefna,þeirrar svívirðingar allrar saman ? »,231502,219,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Sturlunga,222306,Ólafur mælti : « Eg hefi verið á tali við Hrafn og Sturlu og ger þú bæn mína að þú tak nú þann kost er vænast,er að hlýði,", að forðast mætti hin stærstu vandræði .",260587,392,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Reykdæla saga,11002,Hann bjó á þeim bæ,er að Höfða,heitir .,23678,14,Reykdæla saga,347,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1199,Íslendingasögur II,1986,
Sturlunga,11060,Þá svaraði Guðmundur : « Ekki er slíkt að mæla en að því,er að hyggja,við hversu göfgan mann þú átt málaferlum að skipta .,260587,25,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,35599,Nú,er að kjósa,hvort þér viljið sitja fyrir ágangi Sturlu og umsátum eða viljið þér leita trausts á menn með fégjöfum til liðveislu því að flestir munu svo virða að við þetta sé ekki leitanda . »,260587,77,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Brennu-Njáls saga,45600,Gunnari þótti það fýsilegt fyrst og játaði því en þá,er að kom,þá vildi hann eigi .,98938,75,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Sturlunga,282805,"En eftir páska um vorið bjuggust þeir til að ríða að Hrafni , Sturla og Snorri son hans og Snorri Pálsson en Vigfús dró sig úr atferð",er að kom,.,260587,492,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Hallfreðar saga (úr Ólafs sögu Tryggvasonar hinni mestu),8994,Þá mælti Ingibjörg : « Mun eigi ráð að hafa mál og tíðindasögn af manni þessum er um langan veg,er að kominn,áður hann sé til dauða dæmdur fullkomlega ? »,11573,9,Hallfreðar saga (úr Ólafs sögu Tryggvasonar hinni mestu),338,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,874,Íslendingasögur II,1986,
Sturlunga,232554,En er dynurinn kom undir húsin hlupu þeir í skálann og kölluðu að : « Ófriður,er að kominn,. »,260587,406,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Heimskringla,42243,Svo,er að kveðið,að hann hafði her af fjórum fólklöndum .,231502,18,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Valla-Ljóts saga,2343,Halli mælti : « Svo,er að kveðið,að kristnispell sé í orðið og er ei vel séð fyrir hinum smærrum mönnum er þér gerið svo fyrir höfðingjarnir . »,6921,3,Valla-Ljóts saga,280,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,494,Íslendingasögur II,1986,
Laxdæla saga,32760,En miklu best leist mér þó í dag á hann og öll ætla eg oss þar við liggja vor málskipti að vér trúum þann vera sannan guð sem konungur býður og fyrir engan mun má konungi nú tíðara til vera að eg taki við trúnni en mér,er að láta,skírast og það eina dvelur er eg geng nú eigi þegar á konungs fund er framorðið er dags því að nú mun konungur yfir borðum vera en sá dagur mun dveljast er vér sveitungar látum allir skírast . »,57467,40,Laxdæla saga,1229,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4148,Íslendingasögur II,1986,
Heimskringla,29948,En,er að leið,jólunum þá lögðu þeir stefnu með sér átta höfðingjar er mest réðu fyrir blótum í öllum Þrændalögum .,231502,18,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Heimskringla,196076,En,er að leið,"vetrinum þá ræddu þeir það , jarl og Haraldur , að Haraldur mundi þar dveljast um veturinn .",231502,76,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Brennu-Njáls saga,81724,Mátt þú nú nær geta hvar beina okkarra,er að leita,. »,98938,129,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Heimskringla,151743,Og er þér nú sá einn til að snúast þangað til trausts og vináttu sem gnógst,er að leita,og nú láta allir menn sér sóma í norðurhálfu heimsins .,231502,185,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Kormáks saga,8721,Steingerður mælti : « Mál,er að leita,að hestum vorum . »,10303,19,Kormáks saga,476,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,969,Íslendingasögur II,1986,
Reykdæla saga,22374,En,er að líður,þessum tíma þá býst Skúta heiman og þeir Arnór með þrjá tigu manna .,23678,26,Reykdæla saga,347,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1199,Íslendingasögur II,1986,
Íslendinga þættir,34837,Bárður svarar : « Á hitt,er að líta,"herra er miklu er meira vert , drengskap hans og vináttu ykkra er lengi hefir góð verið og þar með stórmennsku þína .",110609,3,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Vatnsdæla saga,3098,Drottning mælti : « Á hitt,er að líta,herra hvað í er að virða orð Jökuls og dyggð mannsins að ganga á vald þitt .,29289,5,Vatnsdæla saga,826,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1832,Íslendingasögur II,1986,
Víga-Glúms saga,16031,Þorvarður segir : « Á það,er að líta,hvort nokkur var sökin eða engi áður Steinólfur var drepinn .,19117,22,Víga-Glúms saga,595,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1222,Íslendingasögur II,1986,
Gísla saga Súrssonar (styttri gerð),9120,Og er búið,er að lykja,hauginn þá gengur Gísli til óssins og tekur upp stein einn svo mikinn sem bjarg væri og leggur í skipið svo að nær þótti hvert tré hrökkva fyrir en brakaði mjög í skipinu og mælti : « Eigi kann eg skip að festa ef þetta tekur veður upp . »,18981,17,Gísla saga Súrssonar - styttri gerð,483,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1169,Íslendingasögur I,1985,
Brennu-Njáls saga,92119,Nú,er að mæla,eftir Njál bónda og Bergþóru húsfreyju er bæði voru saklaus inni brennd og eftir þrjá sonu Njáls og marga aðra góða menn .,98938,139,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Gunnlaugs saga Ormstungu,8306,Gunnlaugur mælti : « Ekki,er að opa,"undan Hrafn , » segir hann , « fyrir því að önga ógn býð eg þér að sinni en þú veist til hvers þú hefir unnið . »",9596,11,Gunnlaugs saga ormstungu,356,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,650,Íslendingasögur I,1985,
Brennu-Njáls saga,14680,« Hvað,er að orðið,? »,98938,23,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Kormáks saga,11324,Kormákur spyr : « Hvað,er að orðið,", er Steingerður í brottu ? »",10303,26,Kormáks saga,476,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,969,Íslendingasögur II,1986,
Harðar saga og Hólmverja,18819,Hann mælti þá : « Bæði er nú Þorbjörg að úr hörðu,er að ráða,enda viltu mikið að gera .,19850,38,Harðar saga og Hólmverja,514,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1476,Íslendingasögur II,1986,
Sturlunga,222473,Ólafur segir : « Úr vöndu,er að ráða,frændi og takið þann upp sem minnst mein mætti af verða . »,260587,392,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Íslendinga þættir,44571,Konungur mælti : « Veistu nú hvernug það,er að reiðast,? »,110609,5,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Kormáks saga,5466,Langt,er að ríða,hið innra . »,10303,12,Kormáks saga,476,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,969,Íslendingasögur II,1986,
Finnboga saga ramma,24086,Þá mælti Finnbogi : « Svo er mér þungt í dag sem þá jafnan,er að sækir,nokkuð og skal nú sofa í dag . »,23702,41,Finnboga saga ramma,560,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1755,Íslendingasögur I,1985,
Gísla saga Súrssonar (lengri gerð),25116,Fá þeir nú drjúgum komið sárum á hann með spjótalögum en hann verst eigi að síður svo að allir verða sárir þeir,er að sækja,.,23429,27,Gísla saga Súrssonar - lengri gerð,535,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1429,Íslendingasögur I,1985,
Bandamanna saga,2458,Það,er að segja,um haustið er menn fóru á fjall af Mel að mjög skaut í tvö horn um heimtur Odds sem verið hafði .,9384,4,Bandamanna saga - Konungsbók,280,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,650,Íslendingasögur I,1985,
